point_id,obj_id,obj_type_id,run_type_id,nuMeta,obj_size,C,Na,P,S,K,Ca,Fe,Histone.H3,Total.Tau,MAP2,Cathepsin.D,Podoplanin,CD56,SV2A,HSP60,CollagenIV,Ki.67,Amyloid.A,VAMP2,MAG,VGLUT1,VGLUT2,Synaptophysin,PSD95,Gephyrin,X8OHG,Ta,Au,Iba1,CD45,HLA.DR,GFAP,GlnSyn,CD31,Endoglin_CD105,Fibrinogen,SMA,GLUT1,vWF,Albumin,CD36,CD44,FlowSOM_ids,Meta
4,167,cell,MFG_4x4,1,4026,0,0,0.00074516,0.0049677,3.8142,1.5412,0.16095,0.53353,1.4672,0.17462,0,0,0.13338,0.055638,0,0.063587,0,0.26801,0.34178,0.026826,0.024839,0,0.27521,0.034029,0.040735,0.14034,0.024839,0.11078,0,0,0.601459555,0.426739215,0.529071912,0.493407959,0.681162419,0.906414783,0,0.739398679,0.679786163,0.643189735,0.58395802,0.680637602,100,29
4,168,cell,MFG_4x4,4,17837,0,0,0.00044851,0.00072882,1.111,0.62191,0.14234,0.30706,0.88019,0.18518,0.0022986,0.0014016,0.076358,0.013343,0,0,0,0.0089701,0.070584,0.0013455,0.019398,0,0.088075,0.030498,0,0.58799,0.010091,0.084151,0.263861764,0,0.143363452,0.14043379,0.213433405,0.274255808,0,0,0,0,0,0.005597543,0,0,23,1
4,169,cell,MFG_4x4,4,3679,0,0,0.0013591,0.0057081,6.8801,2.4118,0.16363,0.19897,1.7774,0.17885,0.016852,0,0.15167,0.057081,0.0019027,0,0,0.0095135,0.433,0.0027181,0.026638,0,0.36233,0.043218,0,0.52541,0.018483,0.10438,0.160235173,0,0.313979183,0.504861157,0.496384123,0.430908288,0,0,0,0,0,0.291425085,0,0,24,2
4,170,cell,MFG_4x4,2,4275,0,0,0.00046784,0.0037427,2.2711,1.0049,0.15509,0.23649,1.6903,0.20772,0.080702,0,0.15509,0.064561,0.008655,0.0023392,0,0.010994,0.47766,0.033918,0.023392,0,0.3186,0.035556,0.0016374,0.19579,0.017544,0.081637,0.581019279,0.538732143,0.430729329,0.238003993,0.447783922,0.383858822,0,0,0.455434958,0,0.313121643,0.290475263,0,0,64,18
4,171,cell,MFG_4x4,1,4217,0,0,0.00023714,0.00047427,0.70263,0.35452,0.13612,0.20062,0.78824,0.1143,0,0,0.10553,0.012331,0,0,0,0.15627,0.1437,0.0056912,0.013991,0,0.12212,0.027508,0.01328,0.056438,0.011145,0.057861,0.235738636,0,0.413352052,0.293882909,0.528092066,0,0.335359136,0.552561563,0,0.729663367,0.471295626,0.489414721,0.437564876,0.49208799,70,21
4,172,cell,MFG_4x4,2,9827,0,0,0.0011194,0.0063091,6.8889,2.3039,0.12415,0.56721,1.2203,0.2138,0.046301,0.00081408,0.1388,0.053526,0.04508,0,0,0.015264,0.295,0.0095655,0.031037,0.016383,0.27404,0.049863,0,0.39015,0.011601,0.079984,0.384648981,0.226455397,0.645691894,0.566510151,0.872985825,0.552906996,0.342309744,0,0.586969693,0,0.7357156,0.429911994,0,0,66,19
4,173,cell,MFG_4x4,2,6119,0,0,0.00016343,0.00098055,0.79114,0.42589,0.13417,0.4839,1.0217,0.13515,0,0,0.10639,0.020918,0.0032685,0,0,0.020428,0.22226,0.0099689,0.015362,0,0.13989,0.02386,0.020265,0.015525,0.0096421,0.059977,0.209170964,0,0.354042857,0.313962636,0.526804601,0,0.231654913,0.195454053,0,0.366562105,0.392453593,0.19974469,0,0,49,12
4,174,cell,MFG_4x4,3,9295,0,0,0.0011834,0.00086068,0.89392,0.4724,0.15471,0.49349,0.60925,0.11813,0.0052717,0,0.078967,0.0097902,0,0.0021517,0,0.017106,0.10586,0,0.014954,0,0.099086,0.02539,0,0.092415,0.010113,0.051425,0.661730861,0.447229736,0.676823919,0,0.435139251,0.30465196,0.271836553,0.375392227,0,0.604965104,0,0.135225271,0,0,91,22
4,175,cell,MFG_4x4,4,10078,0,0,0.00029768,0.00029768,0.40008,0.21086,0.10677,0.1799,1.4076,0.18307,0,0.00019845,0.13276,0.034332,0,0,0,0.0075412,0.31534,0.0086327,0.026989,0,0.20282,0.030363,0,0.29798,0.0063505,0.047132,0,0,0.275278637,0,0.441611917,0,0,0,0,0,0,0.105703758,0,0,2,1
4,176,cell,MFG_4x4,2,7603,0,0,0.0018414,0.0057872,4.245,1.7583,0.17848,1.008,1.7571,0.21505,0,0,0.16257,0.057346,0.0061818,0,0,0.014468,0.36459,0.038537,0.031172,0,0.24477,0.043799,0,0.45653,0.01118,0.076154,0.175170295,0,0.541745416,0.383297817,0.631974328,0.502924972,0,0,0.964054683,0,0.397423049,0.199129254,0,0,64,18
4,177,cell,MFG_4x4,3,17633,0,0,0.0009641,0.0022685,2.4729,1.1004,0.15284,0.23048,0.76465,0.16475,0.042931,0.00022685,0.092327,0.013951,0.00034027,0,0,0.0091306,0.17547,0.0046504,0.020076,0,0.11915,0.030284,0,0.48494,0.0131,0.070493,0.45363139,0.393698933,0.266267117,0.077579703,0.305773516,0.336662181,0,0,0.50603499,0,0.12661826,0.274340563,0,0,42,9
4,178,cell,MFG_4x4,3,16671,0,0,0.0017395,0.0083978,10.403,2.8941,0.14294,0.34089,0.55006,0.18871,0.073181,0.0028193,0.07732,0.014516,0.00071981,0.0010797,0,0.0089377,0.12393,0.011397,0.022194,0,0.086737,0.032032,0,0.64855,0.011397,0.085898,0.582903711,0.516626603,0.395794118,0.143634088,0.231653763,0.539493453,0.30588916,0,0,0,0,0.076419746,0,0,71,22
4,179,cell,MFG_4x4,4,9678,0,0,0.00072329,0.005063,5.4997,1.9933,0.13681,0.20211,1.7719,0.20252,0.010849,0,0.1459,0.057863,0,0,0,0.013329,0.4348,0.013536,0.029138,0,0.36505,0.042261,0,0.66284,0.011986,0.077082,0.13716175,0,0.322329667,0.341952968,0.466980844,0,0,0,0,0,0,0.242704505,0,0,14,2
4,180,cell,MFG_4x4,4,13999,0,0,0.00050004,0.0002143,0.33917,0.17094,0.10365,0.31852,0.90528,0.1433,0,0,0.080934,0.011429,0,0,0,0.0072148,0.12251,0.0012858,0.01543,0,0.096721,0.028002,0,0.26766,0.013215,0.072934,0.146364363,0,0,0.363997996,0.32482657,0,0,0,0,0,0,0.046926526,0,0,3,1
4,181,cell,MFG_4x4,2,7051,0,0,0.0005673,0.00014182,0.47951,0.25344,0.11559,0.24578,1.1631,0.1319,0.018863,0,0.1092,0.027088,0.0039711,0,0,0.0055311,0.27514,0.00070912,0.02255,0,0.23543,0.036307,0,0.16948,0.019572,0.079989,0,0,0.296586382,0.336052053,0.706678144,0,0,0,0,0,0.455903209,0.105966451,0,0,36,7
4,182,cell,MFG_4x4,4,5957,0,0,0.00033574,0.0057076,8.2756,2.068,0.088467,0.16636,0.47121,0.12288,0.015948,0,0.056404,0.0068827,0,0,0,0.0047004,0.1071,0,0.01343,0,0.056068,0.021152,0,0.41766,0.040624,0.12238,0.371321641,0,0,0.088411602,0.222334956,0.291256986,0.201045359,0,0,0,0,0.01568195,0,0,21,1
