point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Astrocytes2
1,27,1036,0,0,0.061776,0.39189,152.76,110.53,0.25097,0,0,1.4131,0.26255,0,0,0.23456,0,0.070463,2.056,0,0,0,0,0.19112,0,0,0.02027,0.64189,0,0,0.007722,0.033784,0.026062,0.59749,0,0.057915,0,0,0,0,0.088803,0,0.39286,0.9527,2.056
1,28,2758,0,0,0.084119,0.27991,89.098,85.812,0.46084,0,0,0.90464,0.23241,0.0083394,0,0.20667,0,0.06599,2.3104,0,0,0.059101,0,0.24148,0,0,0.018129,0.65627,0.15917,0,0.027919,0.052212,0.0010877,0.45794,0,0.055838,0.0010877,0,0,0.091371,0.067078,0.0076142,0.19833,0.51378,2.4017
1,29,6449,0,0,0.055357,0.35013,122.02,96.559,0.34207,0,0,1.1757,0.27911,0,0,0.26221,0,0.08575,2.2383,0,0.0062025,0.055668,0,0.46069,0.016282,0.0012405,0.052566,0.80261,0.092572,0.0043418,0.0096139,0.054737,0.0021709,0.67328,0,0.058614,0.033028,0.0037215,0.0093038,0.029462,0.08699,0.0032563,0.1991,0.6967,2.2678
1,30,761,0,0,0.038108,0.19054,82.735,95.965,1.8502,0.015769,0,2.1025,0.4021,0.20894,0,0.37582,0.04862,0.13929,1.9777,0.43495,0.061761,0.080158,0,0.28121,0,0,0.03548,1.0197,0,0,0.023653,0.061761,0.022339,0.82786,0.011827,0.070959,0,0,0,0.14717,1.5519,0.12746,0.031537,0.23653,2.1248
1,31,842,0,0,0.066508,0.19002,90.274,82.55,0.40143,0,0,0.7209,0.21853,0,0,0.21259,0,0.046318,2.0344,0,0,0.18052,0,0.28029,0,0.051069,0.032067,0.46318,0.2981,0.0071259,0,0.048694,0.0011876,0.31235,0,0.052257,0.077197,0,0,0.028504,0.13777,0,0.16508,0.53207,2.0629
1,32,1631,0,0,0.062538,0.31514,107.61,105.97,0.23483,0,0,0.89638,0.31453,0.0098099,0,0.23544,0,0.064378,2.2262,0,0,0,0,0.17842,0.00061312,0,0.012876,0.60699,0,0,0.015328,0.04721,0,0.54936,0,0.062538,0,0,0,0.074188,0.19865,0,0.26671,0.91845,2.3004
1,33,1470,0,0,0.057823,0.39796,160.57,111.86,0.3551,0,0,1.3857,0.31565,0,0,0.26395,0,0.087075,1.9367,0,0.026531,0,0,0.21769,0,0,0.018367,0.76939,0,0,0,0.042177,0.0088435,0.64762,0.0068027,0.060544,0,0,0,0.12177,0.07415,0,0.37415,1.0401,2.0585
1,34,745,0,0,0.042953,0.19597,84.972,78.349,0.055034,0,0,1.0698,0.26711,0,0,0.29128,0,0.075168,2.0685,0,0,0.038926,0,0.22953,0,0,0.020134,0.73154,0.18658,0,0.036242,0.057718,0,0.4604,0,0.041611,0,0,0,0.06443,0.15034,0,0.12349,0.40805,2.1329
1,35,553,0,0,0.047016,0.37794,145.61,109.14,0.37251,0,0,1.4213,0.27667,0,0,0.27667,0,0.099458,2.0054,0,0.039783,0,0,0.25136,0,0,0.027125,0.7179,0,0,0.056058,0.059675,0,0.58228,0,0.066908,0,0,0,0.023508,0,0,0.26221,0.79566,2.0289
1,36,1038,0,0,0.097303,0.29672,95.628,94.125,0.59152,0.70039,0,0.88728,0.2447,0,0,0.19364,0,0.074181,2.0867,0,0,0.10597,0,0.29094,0,0,0.033719,0.51349,0.19364,0,0.0096339,0.033719,0,0.38247,0,0.037572,0.05106,0,0,0.029865,0.1185,0,0.13873,0.59441,2.1166
1,37,707,0,0,0.048091,0.28996,108.41,101.86,0.23197,0,0,1.1726,0.3041,0,0,0.25318,0,0.077793,2.1061,0,0,0,0,0.22065,0,0,0.016973,0.61952,0,0,0,0.043847,0.0014144,0.67185,0,0.07355,0,0,0,0,0.21216,0,0.26308,0.97878,2.1061
1,38,1600,0,0,0.0475,0.20062,90.123,91.517,0.46937,0.16875,0,1.3262,0.31188,0.023125,0,0.33063,0,0.069375,1.9712,0.16687,0.020625,0.02125,0,0.21875,0,0,0.01875,0.915,0,0,0.0525,0.063125,0.01375,0.58688,0.00125,0.05375,0,0,0,0.23,0.27313,0.00875,0.1125,0.45687,2.2012
1,39,1330,0,0,0.056391,0.41504,157.05,112.39,0.48195,0,0,1.494,0.31278,0,0,0.27143,0,0.11278,2.4098,0,0.015789,0,0,0.28421,0,0,0.013534,1.006,0,0,0.021805,0.065414,0,0.87293,0.014286,0.081203,0,0,0,0.021805,0.053383,0.010526,0.36917,1.012,2.4316
1,40,1719,0,0,0.053519,0.34206,104.86,105.09,0.43688,0,0,1.313,0.32519,0.0046539,0,0.25189,0,0.093659,2.2176,0.044793,0.025015,0,0,0.19895,0,0,0.019197,0.86329,0,0,0.023851,0.054101,0,0.67074,0.008726,0.079697,0,0,0,0.13322,0.21233,0.0046539,0.20593,0.77371,2.3508
1,41,619,0,0,0.13732,0.2294,119.34,73.813,0.088853,0,0,0.94507,0.21002,0,0,0.20355,0,0.071082,2.2342,0,0,0.056543,0,0.19225,0,0,0.038772,0.59774,0.088853,0,0.03231,0.042003,0,0.45719,0,0.050081,0.0096931,0,0,0,0,0,0.12439,0.53312,2.2342
1,42,1001,0,0,0.045954,0.16883,87.967,96.676,0.22278,0,0,1.2418,0.34166,0,0,0.31069,0,0.12687,2.2238,0.06993,0.048951,0.025974,0,0.20979,0,0,0.021978,0.91209,0,0,0.01998,0.052947,0,0.72228,0.004995,0.067932,0,0,0,0.14286,0.44456,0,0.074925,0.42458,2.3666
1,43,32654,0,0,0.051204,0.42613,147.38,109.87,0.92705,0.014975,0,1.4306,0.32171,0.055889,0,0.27363,0.0057267,0.10504,3.0459,0.11352,0.035891,0.019109,0,0.2653,0.0022049,0.00079623,0.02551,0.79699,0.011239,0.0053898,0.046457,0.059625,0.030379,0.72558,0.0047161,0.073375,0.007411,0.0016231,0.001225,0.022049,0.60271,0.027807,0.2592,0.83913,3.0679
1,44,6838,0,0,0.12182,0.22214,129.52,80.159,3.2798,0.02296,0,0.85244,0.2141,0.028371,0,0.19655,0.0045335,0.030564,2.829,0.26879,0.014917,0.041971,0,0.30418,0.007897,0.027493,0.053086,0.25768,0.17037,0,0.010529,0.034805,0.0055572,0.30945,0.0019011,0.052501,0.034805,0.003656,0.0024861,0.007897,0.079117,0.0093595,0.40582,0.7179,2.8369
1,45,2031,0,0,0.053176,0.32644,102.65,103.28,0.80502,0,0,1.3314,0.32792,0.18759,0,0.30921,0,0.11177,3.2319,0.14673,0.048744,0.017725,0,0.23289,0,0,0.020187,1.0286,0,0,0.015756,0.064008,0.0064008,0.74495,0.0019695,0.068439,0,0,0,0.22501,0.40768,0.025111,0.17774,0.71443,3.4569
1,46,588,0,0,0.044218,0.13605,82.269,99.253,0.48469,0,0,2.1463,0.34354,0.2449,0,0.43027,0,0.14456,1.3776,0.14966,0,0.017007,0,0.29252,0,0,0.018707,1.2517,0,0,0.037415,0.081633,0.011905,0.92687,0.013605,0.052721,0,0,0.018707,0.54592,0.4898,0,0.030612,0.21259,1.9235
1,47,747,0,0,0.045515,0.18072,89.88,100.18,0.57296,0,0,1.8621,0.34806,0.080321,0,0.3427,0,0.11513,2.6145,0.066934,0.033467,0,0,0.23561,0,0,0.017403,1.1379,0,0.022758,0.025435,0.085676,0.03079,0.93173,0.016064,0.060241,0,0,0,0.1178,0.37483,0.032129,0.078983,0.42169,2.7323
1,48,807,0,0,0.061958,0.37918,163.09,113.49,0.37918,0,0,1.6097,0.30731,0,0,0.27633,0,0.075589,1.8426,0,0,0,0,0.24164,0,0,0.018587,0.90582,0,0,0.030979,0.048327,0.0061958,0.80173,0,0.071871,0,0,0,0,0.23172,0,0.39157,1.0409,1.8426
1,49,1903,0,0,0.09196,0.24698,141.17,89.957,0.86022,0.25644,0,0.85812,0.20074,0,0,0.19653,0,0.045192,2.2675,0.023121,0,0.10194,0,0.21597,0,0,0.017341,0.50079,0,0,0,0.034682,0,0.38045,0,0.060431,0,0,0,0.019968,0.03731,0,0.2433,0.76353,2.2874
