pointID,vesselID,vesselSize,step,stepSize,Fe,Histone H3,SMA,Total Tau,MAP2,CD56,CD31,GlnSyn,Iba1,CollagenIV,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,CellType1,CellType2,CellType3,CellType4,Astrocytes2Ratio,Microglia2Ratio
1,8,6935,-35,83,3.8916,3.9639,0,0,0,0,0.096386,1.1566,0,0.26506,1.3855,0,0.40964,0.36145,0,1.3012,0,0,0.024096,0,0,0,0.6747,0,0,0,0.16867,0,0.62651,1.2289,1,0,0,0,0.18072,0
1,9,5398,-35,50,0.38,0,0,0,0,0,0,0,0,0,1.58,0,0.8,0.52,0,0.4,0.1,0,0,0,0,0,0.7,0.06,0,0,0,0,0.56,2.72,0,0,0,0,0,0
1,10,6382,-35,56,0.39286,0,0,0.39286,0,0,0,0.35714,0,0,0.71429,0,0,0.23214,0,0.10714,0,0,0,0,0,0,0,0.071429,0,0,0,0,0.035714,0.55357,0,0,0,0,0,0
1,15,5102,-35,40,0,0,0,0,0,0,0,0,0,0,13.475,0.875,0.8,3.275,0,2.025,0,0,0.075,0,0.05,0,10.35,1.675,0.45,0.075,0,0,0.3,2.05,0,0,0,0,0,0
1,16,5218,-35,7,3,0,0,0,1.2857,0,0,0,0,0.28571,20.714,1.8571,0.28571,6.8571,0,1.1429,0.85714,0,0,0,0,0,8.5714,1.5714,1.5714,0,0,0.28571,0.57143,1,0,0,0,0,0,0
1,17,8304,-35,114,4.114,0,0,0.36842,0,0,0,1.0789,0,0.052632,0.78947,0,0.47368,0.20175,0.29825,1.3509,0.12281,0,0.052632,0,0,0,0.070175,0,0,0.017544,0.33333,0,0.62281,2.5526,0,0,0,0,0.026316,0
1,19,10387,-35,173,3.6647,0,0,1.1098,0.15607,0.092486,0.075145,1.7746,0,0.40462,4.4913,0.43931,0.63584,1.6532,0.68208,1.4682,0.10405,0.034682,0.046243,0.023121,0.50289,0,2.6936,0.58382,0.20809,0.023121,0.011561,0.10983,0.30058,1.763,0,0,0,0,0.13295,0
1,20,43270,-35,733,3.2988,0.84584,0,1.075,0.042292,0.1296,0.036835,1.678,0,0.25512,1.1364,0.047749,0.3397,0.17735,0.41473,0.794,0.34243,0.013643,0.047749,0,0.2633,0,0.28922,0.0191,0.012278,0.0191,0.33151,0,1.5989,2.5757,0.36835,0,0,0,0.15962,0
1,21,22478,-35,451,6.4035,2.5188,0,0.42794,0,0.039911,0.026608,1.949,0.68958,0.41242,1.8337,0.11086,0.19956,0.55432,0.15078,1.1308,0.095344,0.0044346,0.053215,0,0.04878,0,0.71175,0.066519,0.017738,0.0088692,0.44789,0.088692,0.55211,1.9091,0.77384,0,0.15078,0,0.18182,0.14412
1,22,8330,-35,85,2.1412,0,0,0.23529,0,0,0,2.0118,1.4824,0.25882,3.1765,0.17647,0.4,0.70588,0.18824,1.5647,0,0,0.047059,0,0.44706,0,0.47059,0.11765,0.17647,0,0,0,0.58824,1.6353,0,0,0,0,0.35294,0.65882
1,1,35740,-34,183,0.98361,1.4153,0,0.52459,0,0.065574,0,1.0164,0,0,2.4481,0.13115,0.010929,0.76503,0.38251,0.61749,0,0.010929,0.054645,0,0.29508,0,0.78142,0.19672,0.22951,0.065574,0.010929,0,2.0492,2.1257,0.68852,0,0,0,0,0
1,2,34460,-34,379,0.77836,0.026385,0,0.27704,0,0.05277,0.015831,1.4433,0.19525,0.11873,1.1504,0.023747,0.12665,0.32718,0.30607,1.1346,0.044855,0,0.047493,0,0.08971,0,0.59894,0.015831,0.0079156,0.0079156,0,0,0.31662,1.1372,0.063325,0,0,0,0.15831,0.087071
1,3,5984,-34,74,0.45946,0,0,0,0,0,0.054054,0.2973,0,0.24324,7.473,0.56757,0.85135,1.2162,0.10811,1.2027,0.027027,0,0.054054,0,0,0,5.8919,0.86486,0.43243,0,0,0,0.54054,1.3378,0,0,0,0,0,0
1,4,11020,-34,119,0.7479,0,0,0.13445,0,0.016807,0,2.1345,0,0.02521,0.56303,0,0.033613,0.02521,0.10084,0.73109,0,0,0.042017,0,0.18487,0,0.084034,0,0,0,0.10924,0,0.2521,0.59664,0,0,0,0,0.26891,0
1,5,53717,-34,6,10,0,0,3.8333,0,0.33333,0,2,0,0.66667,0.66667,0,0,0,2.6667,1.3333,0,0,0.33333,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.33333,0.5
1,6,30110,-34,159,0.89308,1.1195,0,1.1321,0.050314,0.38365,0,3.4654,0,0.44654,0.32075,0,0.10063,0.037736,0.98742,1.1761,0.08805,0.13836,0.11321,0.012579,0.69182,0,0.018868,0,0,0.018868,0.43396,0.062893,0.056604,0.5283,0.23899,0.76101,0,0,0.91195,0
1,8,6935,-34,90,4.8667,4.2667,0,0.022222,0,0.088889,0,1.4111,0,0.26667,0.68889,0,0.48889,0.26667,0,1.3333,0,0,0.044444,0,0,0,0.7,0,0,0,0.11111,0,0.48889,1.8778,1,0,0,0,0.2,0
1,9,5398,-34,55,0.34545,0,0,0,0,0,0,0,0,0,1.5091,0.090909,0.85455,1.1273,0,0.38182,0.16364,0,0.036364,0,0,0,2.1455,0.2,0,0,0,0,0.96364,2.5091,0,0,0,0,0,0
1,10,6382,-34,65,0.29231,0,0,0.64615,0,0,0,0.46154,0,0,1.1385,0,0.030769,0.16923,0,0.27692,0,0,0.061538,0,0,0,0,0.13846,0.061538,0,0,0,0.061538,0.47692,0,0,0,0,0,0
1,13,5119,-34,9,8.3333,0,0,0,0,0,0,0.88889,0,0,4.2222,0,0.22222,0.44444,0,1.1111,0,0,0,0,0,0,2.1111,0.88889,0.22222,0.22222,0,0,0,0.22222,0,0,0,0,0,0
1,15,5102,-34,50,0,0,0,0,0,0,0,0,0,0,13.62,0.72,0.82,3.52,0,1.46,0,0,0.12,0,0.12,0,8.78,1.86,0.82,0.12,0,0,0.58,2.14,0,0,0,0,0,0
1,16,5218,-34,32,0.75,0,0,0,0.78125,0,0.21875,0.4375,0,0.34375,16.063,1.3438,0.71875,6.2813,0,2.5313,0.4375,0,0.0625,0,0.25,0,8.0625,1.5,0.75,0,0,0.4375,0.96875,2,0,0,0,0,0,0
1,17,8304,-34,121,4.7603,0,0,0.42975,0,0,0,1.3223,0,0.099174,1.1901,0,0.69421,0.13223,0.16529,1.6198,0.033058,0,0.033058,0,0,0,0.30579,0,0,0.016529,0.28099,0,0.52066,2.4298,0,0,0,0,0.041322,0
1,19,10387,-34,177,2.4407,0,0,1.2599,0.15819,0.20339,0.15819,1.6893,0,0.26554,5.3616,0.42938,0.66667,1.7853,0.58757,1.6215,0.090395,0.022599,0.12429,0.011299,0.52542,0,2.887,0.62147,0.33898,0.022599,0,0.10734,0.46893,1.6045,0,0,0,0,0.14124,0
1,20,43270,-34,771,3.725,0.70558,0,1.1362,0.029831,0.16342,0.042802,1.6589,0,0.27886,1.2646,0.049287,0.30869,0.23735,0.37613,0.76135,0.29313,0.016861,0.088197,0,0.24514,0,0.41245,0.079118,0.018158,0.029831,0.33593,0,1.6226,2.751,0.36187,0,0,0,0.17121,0
1,21,22478,-34,461,6.6833,2.5249,0,0.44685,0.017354,0.02603,0.047722,2.1562,0.66811,0.36009,1.7983,0.08243,0.27332,0.47939,0.12148,1.1974,0.13449,0.0043384,0.056399,0.0086768,0.069414,0,0.7679,0.069414,0.021692,0.039046,0.54664,0.099783,0.56182,2.0694,0.75488,0,0.15835,0,0.21041,0.14967
1,22,8330,-34,136,2.1691,0,0,0.52941,0,0.17647,0,1.6691,3.6912,0.41912,2.8088,0.17647,0.27941,0.42647,0.55882,1.5147,0,0,0.11765,0,0.19118,0,0.24265,0.19118,0.125,0,0.17647,0.044118,0.68382,1.9485,0,0,0,0,0.22794,0.75735
1,1,35740,-33,205,0.8878,1.1268,0,0.69268,0,0.039024,0,1.0049,0,0,2.8439,0.087805,0.0097561,0.68293,0.43902,0.54146,0,0.019512,0.078049,0,0.32195,0,0.65366,0.25366,0.20976,0.039024,0.029268,0,2.8585,2.2829,0.65854,0,0,0,0,0
1,2,34460,-33,419,0.46301,0.0071599,0,0.23866,0,0.01432,0.02864,1.5585,0.22912,0.14081,1.4606,0.076372,0.17661,0.30549,0.3222,1.2816,0.02864,0,0.050119,0,0.069212,0.0071599,0.55609,0.02148,0.050119,0.019093,0.031026,0,0.31981,1.0525,0.076372,0,0,0,0.16945,0.083532
1,3,5984,-33,81,0.2963,0,0,0,0,0,0.024691,0.5679,0,0.098765,8.7901,0.81481,0.59259,1.8272,0.098765,1.321,0.074074,0,0.024691,0,0,0,6.6296,1.1728,0.37037,0,0,0.024691,0.35802,1.1728,0,0,0,0,0,0
1,4,11020,-33,132,0.59091,0,0,0.18182,0,0.045455,0,2.0455,0,0.14394,0.34848,0,0.015152,0.045455,0.24242,0.39394,0.022727,0,0.068182,0,0.13636,0,0.18182,0,0,0,0.14394,0,0.14394,0.62121,0,0,0,0,0.24242,0
1,5,53717,-33,18,9.2778,0,0,1.9444,0,0.5,0,3.3889,0.61111,0.22222,2.8889,0.16667,0.77778,0,1.4444,2.5,0.33333,0,0.22222,0,0.33333,0,0,0,0,0,0,0.22222,0.16667,0.88889,0,0,0,0,0.5,0.38889
1,6,30110,-33,191,0.58639,1.2513,0,0.89529,0.04712,0.40314,0.041885,3.5654,0,0.44503,0.21466,0,0.15707,0,0.81152,1.1361,0.036649,0.11518,0.041885,0.010471,0.63874,0,0,0,0,0.057592,0.36126,0.010471,0.089005,0.6911,0.25654,0.66492,0,0,0.89529,0
1,8,6935,-33,96,4.9063,4.7188,0,0.083333,0,0.020833,0.0625,1.1771,0,0.41667,0.85417,0,0.35417,0.25,0,1.5208,0,0,0.041667,0,0,0,0.57292,0,0,0,0.14583,0,0.375,1.2708,1,0,0,0,0.21875,0
1,9,5398,-33,62,1.9355,0,0,0,0,0,0,0.064516,0,0.096774,2.5645,0.19355,0.87097,1.3387,0,0.6129,0.14516,0,0,0,0,0,3.5484,0.27419,0,0,0,0,0.87097,3.0323,0,0,0,0,0,0
1,10,6382,-33,79,0,0,0,0.35443,0,0,0,0.27848,0,0.050633,1.8481,0.025316,0.025316,0.22785,0.10127,0.72152,0,0.088608,0.025316,0,0,0,0.088608,0.050633,0.025316,0,0,0,0.12658,0.64557,0,0,0,0,0,0
1,11,7151,-33,42,0,0,0,0.40476,0,0.28571,0,0.28571,0,0,0.19048,0,0,0,0.2381,1.1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14286,0,0,0.16667,0,0,0
