point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Vessel2
1,28,528,0,0,0.015152,0.0037879,3.0606,1.1856,0.047348,0.018939,0,0.037879,0.015152,0,0,0.29545,0,0.077652,0.028409,0.020833,0,0.087121,0,0,0,0,0,0.085227,0.1553,0.10417,0.0037879,0,0.0056818,0.026515,0.011364,0,0,0,0.015152,0.020833,0.085227,0,0.064394,0.030303,0.25947
1,29,1748,0,0,0.0040046,0.00057208,0.52346,0.18421,0.046339,0.01373,0,0.10297,0.0085812,0,0,0.49657,0.0045767,0.099542,0.049771,0.033753,0,0.12757,0,0,0,0,0.033753,0.14302,0.18421,0.13043,0.030892,0.015446,0.0062929,0.04405,0.025172,0.01659,0,0,0.017735,0.010297,0.0051487,0,0.087529,0.050915,0.31465
1,30,1240,0,0,0.0096774,0.0072581,2.0444,0.73387,0.13871,0.041129,0,0.071774,0,0,0,0.36452,0.03871,0.012903,0.032258,0,0,0.016129,0,0.041129,0,0.028226,0,0.046774,0.24113,0.012903,0.029839,0.0016129,0.0080645,0.024194,0.016935,0,0.0024194,0,0.0048387,0.019355,0.0056452,0,1.2452,0.40726,0.25645
1,31,852,0,0,0.0035211,0.0058685,1.9683,0.48005,0.13967,0,0,0.066901,0,0,0,0.46362,0,0.019953,0.061033,0.12441,0,0.0223,0,0.63028,0.014085,0.011737,0.023474,0.059859,0.12793,0.008216,0.014085,0.0035211,0.0035211,0.04108,0.032864,0,0.12207,0.0070423,0.024648,0.0070423,0,0.023474,0.012911,0.008216,0.25822
1,32,277,0,0,0.0036101,0.01083,0.6426,0.25993,0,0,0,0.028881,0,0,0,0.064982,0.22744,0.0036101,0,0.01083,0,0.046931,0,0.16606,0,0.11191,0,0.025271,0.28881,0,0.0072202,0,0,0.018051,0.0036101,0,0.039711,0,0.01444,0.021661,0,0.0036101,0.50181,0.213,0.32852
1,33,759,0,0,0.0065876,0.0039526,0.80501,0.43215,0.096179,0.094862,0,0.15283,0.055336,0,0,0.17391,0,0.061924,0.032938,0.048748,0,0.090909,0,0,0,0,0.027668,0.071146,0.1502,0.10408,0.059289,0.0013175,0.011858,0.0013175,0.023715,0,0,0,0.0052701,0.011858,0.064559,0,0.51779,0.15152,0.25428
1,34,383,0,0,0.0052219,0.013055,1.9739,1.047,0.21932,0.099217,0,0,0,0,0,0.002611,0.039164,0.0052219,0.010444,0,0,0.023499,0,0.020888,0,0.013055,0,0,0.25326,0,0,0,0,0.002611,0.0052219,0,0,0,0.0052219,0.010444,0,0,2.893,2.7363,0.25326
1,35,768,0,0,0.0026042,0.0013021,1.4154,0.33854,0.045573,0,0,0.040365,0.0013021,0,0,0.55078,0,0.091146,0,0.054688,0,0.085938,0,0,0,0,0.027344,0.11849,0.16016,0.095052,0.029948,0.023438,0.0052083,0.066406,0.039063,0.019531,0,0,0.02474,0.014323,0,0,0.061198,0.028646,0.25521
1,36,707,0,0,0.0070721,0.0028289,1.4583,0.43564,0.15417,0,0,0.077793,0,0,0,0.61669,0.065064,0.019802,0.036775,0,0,0,0,0,0,0.036775,0,0.059406,0.25177,0,0.018388,0.011315,0.0056577,0.03819,0.028289,0,0,0,0.0042433,0.0084866,0,0,0.4413,0.11174,0.25177
1,37,1550,0,0,0.0051613,0.0090323,0.85742,0.28,0.0032258,0.097419,0,0.017419,0,0,0,0.29871,0.048387,0.013548,0.0058065,0.0012903,0,0.0058065,0,0.017419,0,0.047742,0,0.030968,0.25097,0,0.0083871,0.0025806,0.003871,0.019355,0.011613,0,0,0,0.0096774,0.012258,0.011613,0.00064516,0.016774,0.034194,0.25097
1,38,571,0,0,0.012259,0.0052539,1.5009,0.43257,0,0.11559,0,0.024518,0,0,0,0.22067,0,0.06655,0.11559,0.015762,0,0.08056,0,0,0,0,0.0035026,0.06655,0.13135,0.10858,0.02627,0.0035026,0.0017513,0.012259,0.033275,0,0,0,0.015762,0.031524,0.021016,0,0.064799,0.022767,0.23993
1,39,768,0,0,0.0065104,0.0065104,1.9909,0.41146,0,0,0,0.026042,0,0,0,0.29948,0.046875,0.014323,0.035156,0,0,0,0,0.12109,0,0,0,0.03125,0.23307,0,0,0.0026042,0.0013021,0.014323,0.0065104,0,0.022135,0,0.0091146,0.0078125,0,0,0.0078125,0.016927,0.25521
1,40,519,0,0,0,0,0.12524,0.063584,0.23892,0,0,0.042389,0,0,0,0.17534,0.061657,0.0077071,0.038536,0.10405,0,0.0096339,0,0.028902,0,0,0,0.021195,0.2659,0,0.017341,0,0,0.0077071,0.0077071,0,0,0,0.0077071,0.021195,0.011561,0.0019268,0.83815,0.1657,0.2659
